lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.152006
# Diagonal elements of inverse mass matrix:
# 0.648707, 1.61908
-13.717,0.995822,0.152006,3,15,0,14.8973,0.914021,10.714,0.132907,7.51668,0.0146756,-0.9999,0.998738,5.79068e-10,1,-9.78208
-13.6961,0.999741,0.152006,4,15,0,13.8461,0.884593,12.2631,0.389162,9.82711,0.026283,-0.999686,0.996967,3.0905e-11,1,-9.97533
-13.6062,0.998404,0.152006,1,3,0,13.7916,0.888386,11.8519,0.321613,17.2162,0.024605,-0.999724,0.997254,6.81764e-11,1,-9.87392
-13.4828,0.984567,0.152006,4,23,0,15.1192,0.892908,10.1589,0.317056,14.5232,0.0226742,-0.999765,0.997572,1.8929e-09,1,-9.74895
-13.7489,0.998025,0.152006,4,15,0,13.8131,0.917393,11.4404,0.419898,4.02793,0.0135547,-0.999915,0.99888,1.35122e-10,1,-9.7618
-13.7183,0.999782,0.152006,3,7,0,13.7892,0.915606,11.6994,0.698755,15.4074,0.0141433,-0.999907,0.998806,8.13489e-11,1,-9.74225
-13.813,0.992438,0.152006,3,15,0,17.1584,0.864407,5.61722,0.898553,10.8556,0.0360948,-0.999416,0.995106,1.62336e-05,0.999984,-10.0696
-14.0015,0.999586,0.152006,4,31,0,14.4438,0.709859,6.18422,0.572634,2.86465,0.15419,-0.989889,0.955263,1.17416e-05,0.999988,-10.8777
-13.8284,0.991773,0.152006,2,7,0,15.1794,0.674998,3.9663,0.99896,5.96148,0.188939,-0.984814,0.938594,0.000805707,0.999194,-10.4725
-13.4651,0.994961,0.152006,3,15,0,14.4705,0.792215,4.85405,0.951179,4.45583,0.0826211,-0.997043,0.982833,9.20856e-05,0.999908,-9.96697
-13.8504,0.966592,0.152006,2,7,0,14.8745,0.757284,7.29149,0.447889,12.4666,0.110881,-0.994732,0.973087,1.08267e-06,0.999999,-10.694
-13.9375,0.968759,0.152006,3,11,0,17.5018,0.904781,14.2549,0.244721,14.1278,0.0179689,-0.999851,0.998289,5.37695e-13,1,-9.89987
-14.1732,0.994899,0.152006,4,23,0,14.7822,0.814576,3.78247,0.923929,2.47085,0.0664002,-0.998073,0.987688,0.000670712,0.999329,-10.408
-13.3472,0.998104,0.152006,4,31,0,14.9034,0.861421,7.86893,0.756585,6.42354,0.0376707,-0.999364,0.99478,1.97715e-07,1,-9.78892
-13.4216,0.999582,0.152006,4,23,0,13.7821,0.75198,5.21117,0.0537744,3.28601,0.11546,-0.994295,0.971364,5.59534e-05,0.999944,-10.0955
-13.3646,0.999906,0.152006,4,15,0,13.4527,0.779691,5.29764,0.928022,19.4063,0.0923607,-0.996321,0.979652,4.16366e-05,0.999958,-9.96679
-13.4095,0.997203,0.152006,4,19,0,14.344,0.866255,7.46505,0.259037,13.7305,0.0351358,-0.999446,0.995301,4.28198e-07,1,-9.8014
-13.4418,0.992171,0.152006,4,15,0,14.0607,0.886644,9.77553,0.900467,18.9593,0.025369,-0.999707,0.997124,4.14983e-09,1,-9.75749
-13.3776,0.999685,0.152006,4,23,0,13.7002,0.775129,5.18296,0.693017,11.4947,0.0960203,-0.996029,0.978408,5.28677e-05,0.999947,-9.98031
-13.4023,0.999885,0.152006,3,7,0,13.4163,0.758857,5.42004,0.196748,15.2605,0.109537,-0.994857,0.973586,3.64877e-05,0.999964,-10.0823
-13.3838,0.993202,0.152006,3,7,0,13.6712,0.777344,5.127,0.372343,19.7879,0.0942358,-0.996173,0.979018,5.82193e-05,0.999942,-9.97242
-13.3623,0.998101,0.152006,4,23,0,13.5467,0.832463,8.14461,0.0737025,3.45575,0.0545619,-0.998688,0.990859,1.32836e-07,1,-9.97104
-13.6476,0.999312,0.152006,4,31,0,14.2322,0.75355,4.05464,0.165909,2.3949,0.114097,-0.994427,0.971881,0.000488321,0.999512,-10.1416
-14.8718,0.982841,0.152006,3,7,0,14.96,0.618092,5.29604,0.97506,0.163366,0.249162,-0.97325,0.904843,0.000108263,0.999892,-11.7917
-13.5754,1,0.152006,3,7,0,15.1505,0.728819,4.25338,0.119562,9.12316,0.136262,-0.992088,0.963048,0.000373012,0.999627,-10.167
-14.0787,0.951752,0.152006,1,3,0,14.8714,0.726679,3.35267,0.0587736,3.28341,0.138247,-0.991858,0.962214,0.00199613,0.998004,-10.4928
-13.5147,0.895701,0.152006,1,3,0,16.3172,0.727212,4.83071,0.477441,1.30989,0.137752,-0.991916,0.962423,0.000128826,0.999871,-10.1999
-13.3127,0.999976,0.152006,4,31,0,13.5862,0.848781,7.85849,0.219058,4.46058,0.0446884,-0.999112,0.993242,2.13674e-07,1,-9.82644
-13.8615,0.981932,0.152006,3,7,0,14.1366,0.847879,4.94267,0.763858,6.85532,0.0452107,-0.999092,0.993122,6.39474e-05,0.999936,-10.1317
-14.1316,0.99708,0.152006,3,7,0,14.3304,0.859098,4.71791,0.721457,11.6322,0.0389184,-0.999323,0.994516,9.61984e-05,0.999904,-10.3066
-14.0549,0.998179,0.152006,4,23,0,14.7525,0.890984,14.1499,0.829697,19.314,0.0234865,-0.999748,0.99744,7.16799e-13,1,-10.1479
-13.5159,0.999383,0.152006,3,7,0,14.142,0.894969,10.9065,0.989567,10.2188,0.0218194,-0.999782,0.997708,4.27713e-10,1,-9.75686
-15.9247,0.996807,0.152006,4,15,0,16.1797,0.515104,4.18224,0.981615,8.69082,0.359722,-0.93999,0.825572,0.00134628,0.998654,-12.738
